title,release_date,multiplayer,age_criteria,rating_system,link,img,off_pct,original_price,discounted_price,star_rating,total_reviews,optimization,platforms,description,sales_title,scrape_timestamp
BioShock: The Collection,2016-09-16,false,18+,IARC,https://www.xbox.com/en-in/games/store/bioshock-the-collection/C2HCDG7L1469,https://store-images.s-microsoft.com/image/apps.58231.65463610408817762.16ac64e5-a1b8-49fa-87ad-cbc5902fcb27.b9524e52-fe80-4e00-9b0a-66275fe9ed5a?w=200,80%,"3,199.00",639.80,4.6,17,,"Xbox Series X|S, Xbox One",Experience the unforgettable worlds and monumental stories of the award-winning BioShock series with BioShock: The Collection.,Countdown Sale,2023-12-30 12:16:35
Black Desert: Conqueror Edition,2023-05-17,true,16+,IARC,https://www.xbox.com/en-in/games/store/black-desert-conqueror-edition/9PPGSQKQ0MZT,https://store-images.s-microsoft.com/image/apps.14415.14324781016663148.cc1800e5-7984-4dcc-9ce9-eb89dc39994d.88fb2a80-3392-4297-8e90-cac08e33377f?w=200,70%,"8,325.00","2,497.50",,,,"Xbox Series X|S, Xbox One","Open-World MMORPG Black Desert has everything from breathtaking combat and siege wars, to exploration and a variety of life-skill content such as trade, fishing, horse training, alchemy, cooking, and gathering! Embark on the adventure you've truly been longing for, today!",Countdown Sale,2023-12-30 12:16:35
Black Desert: Traveler Edition,2023-05-17,true,16+,IARC,https://www.xbox.com/en-in/games/store/black-desert-traveler-edition/9P9XD2PVPVFZ,https://store-images.s-microsoft.com/image/apps.27975.13862038253806233.8f3ca1e2-191a-48c3-8625-612ee6cc7a03.7a414652-37b3-4665-9573-443f1d9ed790?w=200,80%,"2,497.00",499.40,,,,"Xbox Series X|S, Xbox One","Open-World MMORPG Black Desert has everything from breathtaking combat and siege wars, to exploration and a variety of life-skill content such as trade, fishing, horse training, alchemy, cooking, and gathering! Embark on the adventure you've truly been longing for, today!",Countdown Sale,2023-12-30 12:16:35
Black The Fall,2017-07-11,false,3+,IARC,https://www.xbox.com/en-in/games/store/black-the-fall/C2DQNHGBSXB7,https://store-images.s-microsoft.com/image/apps.15190.65440672462593252.c45d461e-fd6e-44bf-9661-0e330af1de74.d4e6528f-a4b9-4ed4-97e7-a41eb9b6bd7d?w=200,70%,"1,470.27",441.08,,,,"Xbox Series X|S, Xbox One","After decades of toil, an old machinist plots his escape from Communism, through manipulation and scheming. Along the road, he befriends the most unlikely creature, an abandoned robot. Could they solve the puzzles and flee this bleak world together?",Countdown Sale,2023-12-30 12:16:35
Black Widow: Recharged,2021-10-27,true,3+,IARC,https://www.xbox.com/en-in/games/store/black-widow-recharged/9NQL6R3TF299,https://store-images.s-microsoft.com/image/apps.44870.13767731964887616.13c65c4b-8340-41ec-8230-dc510402f32f.fa0f44e3-365f-47a8-8f77-e39efde0c17e?w=200,50%,574.00,287.00,,,,"Xbox Series X|S, Xbox One","Defend your spider web from an onslaught of bugs in this frenetic revival of the cult classic twin-stick shooter, all while jamming to an infectious original score by Megan McDuffee. Play solo or tag in a friend for local co-op across 30 unique challenges or the endless arcade mode.",Countdown Sale,2023-12-30 12:16:35
BLACKTAIL,2022-12-15,false,12+,IARC,https://www.xbox.com/en-in/games/store/blacktail/9PJS5ZBHL9DT,https://store-images.s-microsoft.com/image/apps.741.14276478826146146.b19a0656-1381-433d-b255-47f66f8bcaee.3d6ee9a5-bb7e-4bd1-8dce-9b7ec54b0e9e?w=200,60%,"2,499.00",999.60,,,,"Xbox Series X|S, Xbox One","Forge the legend of Baba Yaga, a girl accused of witchcraft and expelled from her home. Live out the origins of the Slavic myth in this one-of-a-kind blend of intense archery combat and dark storytelling set in a vibrant fairy tale world.",Countdown Sale,2023-12-30 12:16:35
Blasphemous 2,2023-08-24,false,16+,IARC,https://www.xbox.com/en-in/games/store/blasphemous-2/9NXBH70B3CVP,https://store-images.s-microsoft.com/image/apps.39835.14432875969980018.dd93b262-ed01-452e-a5f9-241502c59661.00fa4d02-75d6-461f-8872-c7df2839cd53?w=200,25%,"2,399.00","1,799.25",3.7,10,Optimised for Xbox Series X|S,"Xbox Series X|S, Xbox One","The Penitent One awakens as Blasphemous 2 joins him once again in an endless struggle against The Miracle. Dive into a perilous new world filled with mysteries and secrets to discover, and tear your way through monstrous foes that stand between you and your quest to end the cycle one and for all.",Countdown Sale,2023-12-30 12:16:35
BlazBlue: Cross Tag Battle Special Edition,2023-04-27,true,12+,IARC,https://www.xbox.com/en-in/games/store/blazblue-cross-tag-battle-special-edition/9NFWDRBZXDL9,https://store-images.s-microsoft.com/image/apps.13728.13586724043256738.3809e00e-03ca-4046-bce4-167a34f4611d.bf5f44ae-4971-4cf1-8b8e-878a2249fe40?w=200,50%,"1,099.00",549.50,3.4,5,,"Xbox Series X|S, Xbox One, PC","THE COLLISION IS INEVITABLE! THE IMPACT WILL BE UNAVOIDABLE! Cross over between 4 different universes! Play as characters from the BlazBlue, Persona, Under Night In-Birth, and (for the first time ever in a fighting game), RWBY series!",Countdown Sale,2023-12-30 12:16:35
Blaze and the Monster Machines: Axle City Racers,2021-09-30,true,3+,IARC,https://www.xbox.com/en-in/games/store/blaze-and-the-monster-machines-axle-city-racers/9PPG48674B7R,https://store-images.s-microsoft.com/image/apps.15160.14325399623281862.342de998-9167-4372-b9d0-efe583856125.720566c8-6a68-4e3a-bf87-3417c4d50397?w=200,70%,"2,174.00",652.20,,,,"Xbox Series X|S, Xbox One","On your marks, get ready to race with Blaze, Pickle, Crusher, and more Monster Machine friends! From Axle City to the Monster Dome, the world of Blaze is yours to explore. Race at blazing speed for the championship or play with up to 4-players in split-screen mode!",Countdown Sale,2023-12-30 12:16:35
Bleeding Edge,2020-03-24,true,12+,IARC,https://www.xbox.com/en-in/games/bleeding-edge#purchaseoptions,https://store-images.s-microsoft.com/image/apps.39301.14431087147384961.13dc1a18-3532-477b-b2d2-772256efc040.bd9b4e51-6951-46ea-a725-240d38571d7c?w=200,90%,"2,358.81",235.88,2.2,6,,"Xbox Series X|S, Xbox One, PC","Team Up. Cause Chaos. Grab your team and tear it up in Bleeding Edge, an electrifying online brawler where every fighter comes mechanically enhanced for mayhem!",Countdown Sale,2023-12-30 12:16:35
Blizzard® Arcade Collection,2021-02-20,true,12+,IARC,https://www.xbox.com/en-in/games/store/blizzard-arcade-collection/9NZP7NKR2QWG,https://store-images.s-microsoft.com/image/apps.34774.14476509560334391.de75c8bf-1fb8-430a-8b78-9eebf05f3f4f.74dc3511-7f61-4efa-b980-e3dd5b935ab2?w=200,50%,"1,499.00",749.50,,,,"Xbox Series X|S, Xbox One","Relax and rewind with the Blizzard® Arcade Collection, featuring faithful reproductions of Blackthorne®, The Lost Vikings®, Rock N Roll Racing®, Lost Vikings® 2 and RPM Racing™ for modern platforms!",Countdown Sale,2023-12-30 12:16:35
Blood Bowl 3,2023-02-23,true,16+,IARC,https://www.xbox.com/en-in/games/store/blood-bowl-3/9N0BT2QC646K,https://store-images.s-microsoft.com/image/apps.23725.13928529033541362.536067ab-ca29-4e5d-ae00-c181fc56aecf.1fd59397-586e-43d8-9337-a94f7c359153?w=200,40%,"2,174.00","1,304.40",,,,"Xbox Series X|S, Xbox One","Brutal, crazy, tactical… this is BLOOD BOWL! The iconic death sport returns with the new video game of fantasy football faithfully using the latest board game rules and new content. Crush your way to the top and leave your opponents in the graveyard!",Countdown Sale,2023-12-30 12:16:41
Bloodstained: Ritual of the Night,2019-06-17,false,12+,IARC,https://www.xbox.com/en-in/games/store/bloodstained-ritual-of-the-night/9P9K78101LCW,https://store-images.s-microsoft.com/image/apps.45941.14137419244138722.f07799c6-0422-4b95-85fb-398644565f05.8a35e718-3ad9-4324-b7ad-b44d550be6c2?w=200,70%,"1,924.00",577.20,,,,"Xbox Series X|S, Xbox One","Igavania Returns!Play as Miriam, an orphan scarred by an alchemist's curse which slowly crystallizes her body. To save humanity, and herself in the process, she must fight through the castle and defeat the summoner, Gebel.",Countdown Sale,2023-12-30 12:16:41
Blue Dragon,2008-01-01,false,12+,IARC,https://www.xbox.com/en-in/games/store/blue-dragon/C2HGK9J5367F,https://store-images.s-microsoft.com/image/apps.22570.65457035095819016.56f55216-1bb9-40aa-8796-068cf3075fc1.bf29284d-808a-4e4a-beaa-6621c9898d0e?w=200,75%,999.00,249.75,,,,"Xbox Series X|S, Xbox One","Hironobu Sakaguchi, the Father of the Final Fantasy series, and Artoon present the world of Blue Dragon on Xbox 360.",Countdown Sale,2023-12-30 12:16:41
Bluey: The Videogame,2023-11-16,false,3+,IARC,https://www.xbox.com/en-in/games/store/bluey-the-videogame/9N2J0FGV30DX,https://store-images.s-microsoft.com/image/apps.50154.13951667472045163.3fb7085f-1bf8-4c11-9c65-272ecae540f9.f0d5c271-9f9f-45cc-b9a0-d086bad20a8d?w=200,20%,"2,174.00","1,739.20",3.9,7,Optimised for Xbox Series X|S,"Xbox Series X|S, Xbox One","Play a brand-new story set across 4 interactive adventures, explore iconic locations, play your favourite games from the TV show and also play with your friends and family in local multiplayer.",Countdown Sale,2023-12-30 12:16:41
